Position,XY,XZ,YZ,
728,0.82139,0.85129,0.84618,
729,0.81971,0.85012,0.84730,
730,0.81856,0.84851,0.84824,
731,0.81805,0.84668,0.84857,
732,0.81791,0.84471,0.84839,
733,0.81839,0.84265,0.84763,
734,0.81930,0.84131,0.84638,
735,0.81938,0.84045,0.84436,
736,0.81913,0.83950,0.84208,
737,0.81846,0.83962,0.84026,
738,0.81798,0.84005,0.83871,
739,0.81790,0.84157,0.83730,
740,0.81791,0.84344,0.83591,
741,0.81715,0.84556,0.83437,
742,0.81587,0.84801,0.83230,
743,0.81388,0.85069,0.83099,
744,0.81123,0.85344,0.82987,
745,0.81030,0.85578,0.82835,
746,0.80963,0.85835,0.82635,
747,0.80934,0.86080,0.82517,
748,0.81004,0.86252,0.82374,
749,0.81102,0.86348,0.82196,
750,0.81399,0.86417,0.82061,
751,0.81743,0.86463,0.81935,
752,0.82029,0.86466,0.81739,
753,0.82228,0.86418,0.81524,
754,0.82365,0.86293,0.81276,
755,0.82443,0.86162,0.81025,
756,0.82560,0.86005,0.80738,
757,0.82690,0.85818,0.80417,
758,0.82753,0.85758,0.80181,
759,0.82802,0.85636,0.80171,
760,0.82853,0.85500,0.80287,
761,0.82945,0.85330,0.80390,
762,0.83103,0.85185,0.80547,
763,0.83305,0.85026,0.80749,
764,0.83514,0.84862,0.80965,
765,0.83758,0.84705,0.81127,
766,0.84180,0.84481,0.81226,
767,0.84649,0.84210,0.81285,
768,0.85042,0.83882,0.81327,
769,0.85392,0.83529,0.81338,
770,0.85705,0.83127,0.81308,
